IS_NAMED_ENTITY	ID_SENT	ID_WORD	TOKEN	POS_UNI	POS	NER	COMPOUND	COMPOUND_SIZE	ID_TERM_TXT	ID_TERM_IMG	TOT_IMG	TOT_CV_LOC	TOT_CV_ORG	TOT_CV_PER	DIST_CV_I	PL_CV_I	NR_RESULTS_SE_IMG	KLASS_PREDICT_CV	TOT_RESULTS_TX	TOT_TX_LOC	TOT_TX_ORG	TOT_TX_PER	TOT_ERR_TRANS	DIST_TX_I	NR_RESULTS_SE_TX	KLASS_PREDICT_TX	FEATURE_EXTRA_1	FEATURE_EXTRA_2	FEATURE_EXTRA_3	FEATURE_EXTRA_4	FEATURE_EXTRA_5	FEATURE_EXTRA_6	FEATURE_EXTRA_7	FEATURE_EXTRA_8	FEATURE_EXTRA_9	KLASS_1	KLASS_2	KLASS_3	KLASS_4	KLASS_5	KLASS_6	KLASS_7	KLASS_8	KLASS_9	KLASS_10	KLASS_11	KLASS_12	KLASS_13	KLASS_14	KLASS_15	KLASS_REAL
0	1	19	Building	NOUN	NN	O	0	0	47674	47675	10	5	0	0	5	8	20	LOC	9	0	9	27	0	18	9	PER	79	0.0	0.0	0.0	0.0	0	0	0	0	0	0	LOC	O	O	O	50.0	33.0	48.0	0	0	0	0	56.0	0.0	O
0	1	20	=	INTJ	UH	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	88	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	21	ESB	PROPN	NNP	O	0	0	2305	2306	10	0	3	0	3	-74	10	ORG	10	0	10	30	0	20	10	PER	90	0.0	0.0	0.0	0.0	0	9	0	0	0	0	LOC	O	O	O	50.0	33.0	48.0	0	0	0	0	56.0	0.0	O
0	1	22	.	PUNCT	.	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	94	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	23	Pretty	ADV	RB	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	96	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	24	bad	ADJ	JJ	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	103	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	25	storm	NOUN	NN	O	0	0	3498	3499	10	8	0	0	8	36	10	LOC	10	0	10	30	0	20	10	PER	107	0.0	0.0	0.0	0.0	0	0	0	0	0	0	LOC	O	O	O	50.0	33.0	48.0	0	0	0	0	56.0	0.0	O
0	1	26	here	ADV	RB	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	113	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	27	last	ADJ	JJ	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	118	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
0	1	28	evening	NOUN	NN	O	0	0	28162	28163	10	6	1	0	5	18	20	LOC	9	0	9	27	0	18	9	PER	123	0.0	0.0	0.0	0.0	0	0	0	0	0	0	LOC	O	O	O	50.0	33.0	48.0	0	0	0	0	56.0	0.0	O
0	1	29	.	PUNCT	.	O	0	0	0	0	0	0	0	0	0	0	0	O	0	0	0	0	0	0	0	O	131	0	0	0	0	0	0	0	0	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
