klass,text
klass2,"AccelTree Software is an Indian IT services company headquartered in Pune, Maharashtra, which specializes in web development and mobile application development. It provides mobile enterprise solutions for medium- to large-sized insurance companies in order to enhance productivity of their field force with mobile phones and tablets as an extension to their existing core systems."
klass2,"Accumuli Security is a UK-based IT security specialist, established in 1996. Employing around 60 staff, it is based mainly in the London region and Yorkshire. The firm’s current CEO is Gavin Lyons."
klass2,"Acodez IT Solutions is a privately owned award-winning Web Design, Web Development and certified Google partner Digital Advertising agency  based in Kerala. The company was founded in 2011 by Rithesh Raghavan and John Paul Manjaly and currently has a total of 35 employees."
klass2,"Acıbadem Üniversitesi Spor Kulübü, is a Turkish professional basketball club based in Istanbul which plays Turkish Second Basketball League. Their home arena is Acıbadem Üniversitesi Sports Hall with a capacity of 500 seats. The team was founded by Acıbadem University in 2014."
klass2,"Adams Resources and Energy, Inc. is a company engaged in the production and marketing of crude oil and natural gas products. As of 2014, it is a Fortune 1000 company."
klass2,"Adana ASKİ SK is a sports club based in Adana. The major branch of the club is the women's basketball, currently performing at the top flight of the Turkish Women's Basketball League (TKBL). The venue of the basketball team is Menderes Sports Hall."
klass2,"AdGreetz is a cloud-based SaaS platform that utilizes brand, social, geo/browser and user-generated data to dynamically deploy relevant, personalized video messages for brands on the Internet and mobile via email, Facebook, Twitter, print, website, point-of-purchase, outdoor, display and premium video advertisements."
klass2,"Advanced Business Solutions, known as COA Solutions until September 2010, sells accounting and other business management software to the service sector."
klass2,"Advanced Business Solutions, known as COA Solutions until September 2010, sells accounting and other business management software to the service sector."
klass2,"Aerochute International Pty. Ltd is an Australian aircraft manufacturer founded in 1989 by Stephen Conte and based in Coburg North, Victoria. The company specializes in the design and manufacture of powered parachutes in the form of kits for amateur construction for the European Fédération Aéronautique Internationale microlight category. The aircraft are also approved by the  Australian Civil Aviation Safety Authority.The company introduced its single seat model, the Aerochute International Hummerchute in 1989 and the two-seat Aerochute International Dual in 1992.Aerochute is also an approved powered parachute flight training school, with locations in Melbourne and Perth."
klass2,"After Platinum Records is an American independent record label and production company. The CEO is Ernie Romero, who is also the current manager of rapper Cory Gunz."
klass2,"Agents’ Mutual Ltd is the company behind OnTheMarket.com, a property search website that launched on Monday 26 January 2015."
klass2,Ahange Arya is a Persian music record label based in New York. It is known for its large and extensive collection of Persian music.
klass2,"Ahmadu Ribadu College is a secondary school in Yola, Adamawa State, Nigeria. Named after the late Ambassador Ahmadu Ribadu in the year 2000 and commissioned by Alhaji Shehu Shagari former Nigerian president . It was founded by Mrs Zainab Tukur, an entrepreneur, wife to the former minister of commerce and industry Mahmud Tukur.The school is well equipped with laboratories,outdoor geography class,Sports facilities and equipments, beautiful garden and conducive environment for learning. Many Awards are given to the school and its students."
klass2,"Airstream Jets Inc. is an international air charter brokerage & aircraft management company headquartered in Boca Raton, Florida with offices also in Canada, and Australia."
klass2,"Antalya Aksu Anadolu Öğretmen Lisesi, also known as Antalya Aksu Anatolian Teacher Training High School was founded in 1941. It is considered one of the best Anatolian High Schools in Turkey. The education in this school is mostly in English and students are required to pass an entrance examination before being admitted to the school."
klass2,"The al-Ameer English School is an English medium school that was founded in 1991 in Ajman, United Arab Emirates.The School is a subsidiary of Al Manama Group.  The school is accredited by Central Board of Secondary Education, New Delhi and has the recognition of the U.A.E.'s Ministry of Education.The school first opened in 1991 in a villa in Rumaila, Ajman. In 2004 the school moved to its present spacious campus. The school grew over the years to have sections for KG, Primary and Secondary eduaction. Male and female students have separate instruction.The principal, Mr. S.J Jacob, received best teacher award from President Of India in 2014."
klass2,"Established in 2000, Al Shamsi Holdings is a fast growing retail organization focusing on fashion in the GCC. The company represents international brands Desigual, Scotch & Soda, Vincci, Parfois, Okaidi and Tati.It is one of the leading retail companies in the GCC, employing over 500 multicultural staff, running over 75 stores."
klass2,"The Albany Free School is the oldest independent, inner-city alternative school in the United States. Founded by Mary Leue in 1969 based on the English Summerhill School philosophy, the free school lets students learn at their own pace. It has no grades, tests, or firm schedule: students design their own plan for learning daily. The school is self-governed through a weekly, democratic all-school meeting run by students in Robert's Rules. Students and staff alike receive one equal vote apiece. Unlike Summerhill-style schools, the Albany Free School is a day school that serves predominantly working-class children. Nearly 80 percent of the school is eligible for reduced-price meals in the public schools. About 60 students between the ages of three and fourteen attend, and are staffed by six full-time teachers and a number of volunteers.The school runs on a shoestring budget as a tradeoff for its financial independence and accessibility to low-income students. Tuition is billed on a sliding scale based on what parents can afford. Revenue from rental properties and fundraising supplements tuition income. The school started a high school in 2006 and became the separate Harriet Tubman Democratic High School, which enrolls about 20 students and offers both self-directed and traditional classes. Alumni of the school have attended a variety of colleges. Journalists have noted the school's similarity to unschooling and homeschooling, and its work to that of prefigurative politics. The Albany Free School is one of the few schools remaining from the 1960s and 70s free school movement. It inspired the program of the Brooklyn Free School."
klass2,"Alestra S. de R.L. de C.V., known as Alestra, is a Mexican IT Services company headquartered in San Pedro Garza García, in Greater Monterrey, Mexico. It provides IT solutions for the corporate sector in Mexico. It is a subsidiary of the Mexican conglomerate Alfa.Alestra reported revenues of $415 million for 2014. It empolys more than 1,600 people and operates five data centers, 3 in Monterrey, 1 in Guadalajara, and 1 in Querétaro.In 2011, its parent company, Alfa, acquired 49% of Alestra´s shares from AT&T."
klass2,"Alliance of International Doctors (AID, Uluslararası Doktorlar Derneği in Turkish) is an organization established by a group of volunteer doctors, pharmacists, dentists, and nurses in Istanbul in 2011. AID provides medical assistance to the people in the regions affected by disasters and poverty. The president of the organization is Dr. Mevlit Yurtseven."
klass2,"Allsec Technologies is a company with presence across India and enabled services in India, United States, United Kingdom, and internationally. Allsec Technologies is a company provide Web development, Web design, search engine optimization, strategic teleservices, customer care, and quality management services. It is also provide data verification, processing orders received through telephone calls, telemarketing, monitoring quality of calls, customer services.Its client are top MNC like Genpact, Accenture, Wells fargo etc."
klass2,"Alpe Adria Cup (AAC) is a basketball competition in the Alpe-Adria region and will organise clubs from four countries, namely Austria, Slovenia, Croatia and Slovakia. The competition goal is to  enable ambitious basketball teams to improve their level with international experience. The competition will be played under the rules of FIBA."
klass2,"AlphaPoint Corporation is a SaaS company based in the United States, which provides both a full stack white label digital currency exchange platform, as well as a variety of back end solutions for institutions and startups.AlphaPoint was founded in 2013 by Joe Ventura and Jack Sallen.  The company is headquartered in New York City, with offices in Philadelphia and San Francisco. Joe Ventura is a veteran in software architecture who, before founding AlphaPoint, designed and implemented complex low-latency software systems for Deutsche Bank, UBS, Merrill Lynch, and other financial institutions. Both he and co-founder Jack Sallen worked extensively on Photon Trader, a futures and options trading platform connecting to Chicago Mercantile Exchange, Chicago Board of Trade, NYMEX, Eurex, Liffe, and BATS Global Markets."
klass2,"Alpha Unmanned Systems is a privately owned Spanish company based in Madrid, dedicated to the design, development and production of small Unmanned Aerial Vehicles (sUAV). Additionally, the Company provides integration of Flight Control Systems and payloads for ISTAR missions and non-military tasks."
klass2,"Alsace de Bagnolet or Alsace Bagnolet is a French basketball club founded in 1924 and based in Bagnolet in the eastern suburbs of Paris. It is a part of the sports club of the same name founded in 1908. It belonged to the highest level championship of France in the 1960s, winning three league titles. In 2006, the club tried to restructure itself in order to regain entry to the Championship of France. It currently operates in National League Three."
klass2,"AltiGator is a multirotor Unmanned aerial vehicle manufacturer founded in 2008 and headquartered in Waterloo, Walloon Brabant, Belgium. It produces complete ready-to-fly radio-controlled miniature UAVs for various professional applications. It also holds a web-shop providing spare parts, self-assembly kits and accessories for drones.AltiGator UAVs are registered under the OnyxStar trademark which is a brand for Remotely Piloted Aircraft System (RPAS) and camera mounts dedicated to this sector. They are built with MikroKopter's electronics as the two companies agreed on a long-term partnership.AltiGator builds French DGAC-certified Unmanned Air Systems (UAS) used by many UAV operators in France as listed on the Directorate General for Civil Aviation website. Therefore, the company is also listed as a certified drone manufacturer on the Ministry of Ecology, Sustainable Development and Energy website because this Ministry is also in charge of Transportation and Aviation purposes."
klass2,"Amar Audio is the largest music corporation in the Punjab. An Indian-based, Punjabi-owned music corporation, it currently operates as a subsidiary of Punjab. This Production house started by the name of Aman Audio in 1990’s, which is the largest music production & published company in the Punjabi Music Industry. It has produced several commercially and critically successful albums over the years."
klass2,"Amazing Film Studio  is dedicated to film-making, program production, music production, concert production, animation and special effects, integrated marketing, film distribution, talent agency, public relations, campaigning, media planning, and Internet strategies.The team members are people who market and produce music for the film You Are the Apple of My Eye, which is a great success in Asia.The founder Adam Tsuei served as the former president of Sony Music in the Greater China Region, the one who has made and brought to the music world such super idols as Jay Chou, Leehom Wang, F4 and Jolin Tsai. In 2011 his music production and marketing team created yet another sensation out of You Are the Apple of My Eye, a record holder of many awards. It has become the bellwether in many aspects: the themes of movies, the contents thereof, and the best way to market them.Again in 2013, Amazing Film Studio went ahead with the production and marketing of Tiny Times &Tiny Times 2  in its usual accurate and no-nonsense manner. In 2014 the innovative and sensational Café. Waiting. Love made another amazing addition to the list. The three of them, with their box office records and public acclaims, have yet again become legendary. In 2015, Amazing Film Studio is planning on shooting the film The Tenants Downstairs adapted by the original novel of Giddens Ko."
klass2,"Amelia Earhart Middle School is located at 20202 Aptos St. Riverside, California. The public middle school was named after Amelia Earhart, an American aviator."
klass2,"ASP – America’s Swimming Pool Company is a franchised swimming pool service chain, specializing in swimming pool maintenance, repair, and renovation. Stewart Vernon founded the first ASP - America's Swimming Pool Company in 2001 in Macon, Georgia, where the franchise headquarters currently resides."
klass2,"The American International School of Lomé (AISL) is a K-12 private school  coeducational day school located in Kégué, a suburb north of Lomé, Togo which also includes a pre-school (referred to as the Child Development Center)."
klass2,"The American Premier Soccer League (APSL) is an American soccer league commonly recognized by the United States Soccer Federation and FIFA as being a fourth tier league.Although the league is officially affiliated with the United States Adult Soccer Association (USASA), and qualifies for the U.S. Open Cup through USASA channels, the league is generally considered to be at the fourth tier of competition in the United States soccer pyramid, behind Major League Soccer (MLS), the North American Soccer League (NASL), the United Soccer League, and roughly equal with the USL Premier Development League (PDL)."
klass2,"Amman Academy (AA) is a private co‐educational, bilingual (English and Arabic) day school in West Amman enrolling 1,628 students from preschool through 12th grade. Amman Academy is a top ranking private school in Jordan. Between the years 2008 and 2014, AA students achieved a 100% pass rate in the IB Diploma Program examinations and an average score surpassing the international average. Amman Academy consists of four separate schools which coordinate to offer students a comprehensive academic and social experience."
klass2,"Amu Power Company is a power generation company based in Nairobi, Kenya."
klass2,"Andrew Marvell College is a coeducational secondary school located in Kingston upon Hull in the East Riding of Yorkshire, England. The school is named after Andrew Marvell, a 17th century metaphysical poet and politician.The school opened in 1953 as Barham High School and was exclusively for girls. The school was later renamed Andrew Marvell School and became coeducational. Today it is a foundation school administered by Hull City Council and The Pioneer Trust, and offers GCSEs, BTECs and Cambridge Nationals as programmes of study for pupils.Andrew Marvell College moved into new buildings in January 2013. Since this time the school has made its facilities (mainly sports facilities) available to the local community outside of school hours."
klass2,"Andrews Sykes Group is a specialist hire company in the United Kingdom, and a supplier of pumping, heating and cooling solutions. Its headquarters are in Wolverhampton, United Kingdom.In 1989, Sykes Pumps was merged with Andrews Industrial Equipment by Braithwaite Group to form what is known today as Andrews Sykes Hire Ltd. The company has 30 depots based in the UK, with more than 300 UK-based staff.  There are also a number of operations internationally with bases across Europe, the Middle East and North America.It is listed on the London Stock Exchange and also features in the FTSE 100 Index.It is majority-owned by its chairman, Tony Murray."
klass2,Angel-in-us Coffee is a coffeehouse chain based in South Korea and owned by the Lotte group.
klass2,Animaccord Animation Studio (Russian: Анимационная студия «АНИМАККОРД») is a Moscow-based Russian studio which produces animated films.
klass2,"Appboy Inc. develops Intelligent CRM and mobile marketing automation software for companies around the world, supporting stronger relationships between brands and their customers through mobile and other emerging channels. Appboy’s platform includes multi-channel messaging (including in-app messages, push notifications, email and News Feed Cards) capabilities, multivariate testing of messages and campaign analytics, among other features.Appboy was founded in 2011 by Jon Hyman, Bill Magnuson and Mark Ghermezian. The company received $7.6 million in Series A funding in November 2013 (from Icon Ventures, Michael Lazerow, Blumberg Capital, Accelerator Ventures, Bullpen Capital and Triple Five Group) and $15 million in Series B funding in October 2014 (from InterWest Partners, Icon Ventures, Blumberg Capital, Triple Five Group and IDG Ventures). The company is headquartered in New York, New York, and maintains a satellite office in San Francisco, California."
klass2,"ApprenNet is a Philadelphia-based educational technology startup company founded in 2011 by Emily Foote and Drexel University School of Law Professor Karl Okamoto that provides apprenticeship-like job experiences online.AppreNet's first release was LawMeets, an online experience similar to a moot court competition.  With LawMeets, students enact their response to a legal problem, and can not only then review their own performance, but also receive feedback, including critiques by experts.  According to the Journal of the American Bar Association, LawMeets ""quickly [became] a very big deal.""ApprenNet next added K12Meets, a program enabling teachers to practice their classroom techniques, and created a training program for employees at a Philadelphia restaurant.In 2013 ApprenNet was one of five startup companies selected to participate in the University of Pennsylvania's  Education Design Studio Inc. (EDSi), an innovation incubator dedicated to funding and launching education technology companies."
klass2,"The Argentine Super Rugby team is a professional rugby union team based in Buenos Aires, Argentina. They will make their debut in SANZAR's Super Rugby tournament in 2016 Super Rugby season.As of September 2015, the team does not have a name (with media reports suggesting that they would be called Los Jaguares), colours, jersey design or home stadium. The branding is expected to be announced after the 2015 Rugby World Cup."
klass2,"Argonon is an independent media group founded in 2011 by CEO James Burstall, the CEO of Leopard Films.  With offices in London, New York, Vancouver and Glasgow, Argonon was named the fourth biggest UK owner/consolidator in the Broadcast Indie Survey 2015.The group produces and distributes factual, factual entertainment, documentary, reality, entertainment, arts, drama and children’s programming for various television networks and channels worldwide with a core focus on the UK, US and Canadian markets. The company has developed new ventures including Cash in the Attic Ltd to exploit programme content in the digital world and The Bridge, to drive production partnership opportunities between Asia and English-speaking countries.The group, which includes twelve companies, saw a turnover of over £50m in 2014  (£30m UK ) and were named as the fastest growing UK indie group with a year on year growth in revenue of 150% from 2013 to 2014."
klass2,"Argos High School is a public high school in Argos, Indiana, educating grades 9 through 12."
klass2,"The Arizona Conservatory for Arts & Academics (ACAA) is a public, non-tuition college preparatory charter school serving grades six through twelve offering non-traditional schedule and methods. It emphasizes creativity through small classes and a faculty of certified educators and professional artists. It opened in 2003.ACAA has a curriculum of more than seventy-five courses taught in 14 Academic classrooms in English, mathematics, science, social science, foreign languages, fine arts, and performing arts, including Advanced Placement courses.  Academic faculty members integrate the arts into their classes, while the Arts faculty integrates academic standards in their curriculum."
klass2,"Army Public School is an English medium, co-educational day school situated at Hisar Military Station in Hisar in the Indian state of Haryana."
klass2,Artiscope is a Brussels art gallery specialized in contemporary American and European artists. Artiscope Gallery has organized exhibitions in collaboration with many museums in Belgium and Germany.
klass2,Ashraf Zindani High School is situated at village of Shomaj at Chatmohar in Pabna.
klass2,"Assemblage Entertainment is a new Indian animation studio based in Mumbai, India. Founded in 2013, Assemblage is a full service CGI animation and VFX studio. Housed in a 10,000 sq.ft. state-of-the-art facility, the studio is supported by a team of over 280 people."
klass2,"Ath Entertainment Pvt. Ltd. is a film production company based in Delhi, founded by writer and entrepreneur Pankaj Narayan and Apoorva Bajaj, best known for their 2015 Hindi film, Chal Guru Ho Jaa Shuru, award winning documentary, Kitnashak, and filmed concert of the Pakistani singer Attaullah Khan Esakhelvi, famous for his renditions of ""Acha Sila Diya"" and ""Bedardi Se Pyar"". Production house has niche for making commercial and art house or new wave cinema in Bollywood. Company has also made various documentaries, ad films and holds portfolio of several companies and NGOs of India, such as Patanjali Yogpeeth."
klass2,"The Atlanta Vultures is a professional indoor football team and a member of American Indoor Football set to begin play for the 2016 season.  Based in Atlanta, Georgia, the Vultures play their home games at the Georgia International Convention Center.The Vultures are Atlanta's second AIF team, following the Atlanta Sharks who began play in 2014 and folded during the 2015 season."
klass2,"Auntie Maria School (AMS) is located in Benin City, Nigeria and comprises Auntie Maria Nursery School (Toddler 1 - KG 2);  Auntie Maria Primary School (Basics 1 - 5); and Auntie Maria College (JSS 1 - 3  &  SSS1 - 3). The institution was founded in 1974 by Dame Maria Amieriye Osunde who was honoured by Pope John Paul II with a Benemerenti medal  in 1993."
klass2,"Austrey School is an O-level-oriented secondary school in North Karachi, Karachi, Pakistan and is wholly owned by Ermine, a British educational management organisation. The current Principal is Mrs. Rubina Mahmood. It was founded in 2000 as Campus I of Ghazi Public School. It is now named after the village of Austrey, Warwickshire, England. The school occupies an extensively modified large former house in a residential area. English is the medium of instruction in all subjects except Urdu and Sindhi. In the tradition of Maria Montessori’s educational philosophy, Austrey School encourages creative play."
klass2,"Austrian Basketball Federation (German: Österreichischer Basketballverband), also known as ÖBV, is a national governing body of basketball in Austria. It joined FIBA in 1934."
klass2,"AutoAnything is an automotive retailer company founded in 1979 by Selwyn Klein, where at the time it sold Blue Ribbon seat covers as well as other accessories. AutoAnything offers aftermarket performance automotive parts and accessories for cars, trucks, jeeps, vans and SUVs. In 1997, he and one of his sons worked together to create the website AutoAnything.com. His youngest son joined them in the company two years later in 1999.Since its inception in 1979, the company was met with both critical and commercial success, ranking highly on Internet Retailer's Top 500 list at #157 and posting profits in 2010 and 2011. Google's Trusted Stores program in conjunction with its AdWords text ads and Product Listing Ads in Google Shopping also contributed to the company's financial health. In 2012, the company was bought out by AutoZone, which AutoZone notes contributed to an increase in profits in its e-commerce sector. Despite AutoZone considering the purchase of AutoAnything to be a successful move on its part, writers for financial analysis websites have suggested tha the purchase of the website would not cause major changes for AutoZone, though some felt that its attempt to strengthen its e-commerce presence was a good idea. It presently holds an A+ rating from the Better Business Bureau and is accredited by the BBB."
klass2,AutoUncle is a web search engine founded in 2010 by the two brothers Johan and Niels Kristian.
klass2,"Autonomous Solutions, Inc. (also known by the acronym ASI) was founded in 2000 as a spinoff from Utah State University and is headquartered in Petersboro, Utah. Autonomous Solutions (or ASI) manufactures an OEM/vendor independent automation technology that retrofits to existing equipment. The system uses GPS, radio, and software technologies to create a fully autonomous vehicle. ASI has installations in the mining, farming, automotive, and military industries."
klass2,"Avrett Free Ginsberg (AFG), Inc. is a full-service advertising agency in the United States.AFG was founded in 1971 by Jack Avrett, Marcella Free, and Keith Fisher. Frank Ginsberg, Creative Director at the time, later went on to become a partner in 1982."
klass2,"Basketball Club ""BC"" Caspiy Aktau (Kazakh: Каспий Ақтау ""БК"" Баскетбол Клубы; Russian: Баскетбольный клуб ""БК"" Каспий Актау) is a Kazakhstani professional basketball club based in the city of Aktau in western Kazakhstan."
klass2,BC Dukla Prague (Czech: BK Dukla Praha) is a Czech (former military) basketball club from Prague.
klass2,"BC Lietkabelis-2 is the reserve team for BC Lietkabelis, currently playing in the National Basketball League. BC ""Palanga"" professional basketball club was founded in 1999. In 2006 club name was changed to BC ""Naglis-Adakris"" because of the club supporters UAB „Adakris“ but in 2011, club name was reverted to BC ""Naglis"" again, changing its name to ""Palanga"" in 2012. For the 2014–2015 season the team moved to Vilnius and became BC Vilnius, after that one season in the capital, they moved to Panevėžys to become the reserve team of BC Lietkabelis."
klass2,"BC Nokia is a professional basketball club based in Nokia, Finland. The team currently plays in the top level Korisliiga."
klass2,"BC Novosibirsk, is a professional basketball team based in Novosibirsk, Russia. It plays in the Russian Super League, the second highest level of basketball in Russia.In 2015, they won the Russian Cup by beating Dynamo Moscow in the Final."
klass2,"KK Trakai is a professional Trakai, Lithuania basketball club, currently playing in National Basketball League."
klass2,"BC Vytis is a professional Šakiai, Lithuania basketball fan club, currently playing in National Basketball League. Basketball fans selected new club name,later thet select logo,starting 5 and e.t.c"
klass2,"Bolsa Mexicana de Valores, S.A.B. de C.V., also known as Bolsa Group or BMV Group, is a Mexican financial services company headquartered in Mexico City, Mexico. It is the owner and operator of the Mexican Stock Exchange and other financial services companies, such as the custody institution Indeval, the derivatives exchange MexDer, and the market data provider ValMer.Bolsa Mexicana de Valores reported revenues of US$ 168 million for 2014. Its main revenues are generated from fees for stock trading, stock maintenance, OTC trading, and custody service. Bolsa Mexicana de Valores is listed in the Mexican Stock Exchange since 2008 and is a constituent of the IPC, the main benchmark index of Mexican stocks."
klass2,"BS Leiden, mostly known for sponsorship reason as Zorg en Zekerheid Leiden or ZZ Leiden, is a basketball club based in Leiden, Netherlands that plays in the Dutch first division Dutch Basketball League (DBL). Their home games are played at Vijf Meihal, which has 2,000 seats.ZZ Leiden has won the national championship 3 times, the NBB Cup 2 times, the Dutch Basketball Supercup 2 times."
klass2,"Basketball Vereniging Den Helder or simply Den Helder, mostly known for sponsorship reasons as Port of Den Helder Kings is a former professional basketball club from Den Helder, Netherlands. The team played in the Dutch Basketball League, the highest professional league in the Netherlands. The club has won the Dutch League six times and the NBB Cup once. In 2009, the club went bankrupt and was forced to leave the Dutch Basketball League, but in 2012 Den Helder returned to the highest stage. In 2014, the club went bankrupt once again."
klass2,"Basketballvereniging Rotterdam-Zuid (in English: ""Rotterdam-Zuid Basketball Club"") mostly known as RZ is a basketball club from Rotterdam."
klass2,"Back Bay Rugby Football Club competes in Southern California Rugby Football Union 2nd division. The club was founded in 1985 with the consolidation of two first division clubs, Irvine Coast and Newport Beach."
klass2,"The  Bad Homburg Falken were an American football team from Bad Homburg, Germany.The club's greatest success has been promotion to the American football Bundesliga, now the German Football League, in 1980 and 1983 where it played for 12 seasons until 1993. In this era it qualified for the play-offs on five occasions, winning the southern division of the league in 1988."
klass2,"Bakkafrost (OSE: BAKKA) is a Faroese salmon farming company based in Glyvrar on the island Eysturoy in the Faroe Islands. Bakkafrost is the largest fish farming company in the Faroe Islands and one of the biggest private employer in the islands, if not the biggest. Bakkafrost is the eight largest fish farming companies in the world.Regin Jacobsen and his mother Oddvør Jacobsen are the main owners of Bakkafrost, Oddvør Jacobsen owns 9,5% of the shares and Regin Jacobsen ownes 9,3% of the shares. There are currently more than 3000 different owners from 22 countries."
klass2,"Baku Business Factory is the social direction of the Business Incubation Center, established in order to develop business skills of young people and their business initiatives."
klass2,"The Baltic Women's Basketball League, shortly BWBL, is a top-level regional basketball league, featuring female teams from Belarus, Kazakhstan and Latvia. Clubs from Russia, Finland, Sweden, Ukraine, Estonia and Lithuania had their representatives in Baltic League in past seasons."
klass2,"Baltic Workboats AS is an Estonian shipbuilding company with a shipyard in Nasva. Baltic Workboats has built more than 150 different sized boats and vessels for pilots, coast guards, police, fishery inspections, research institutes and several harbors."
klass2,"Baltic Workboats AS is an Estonian shipbuilding company with a shipyard in Nasva. Baltic Workboats has built more than 150 different sized boats and vessels for pilots, coast guards, police, fishery inspections, research institutes and several harbors."
klass2,"Banas Dairy (Banaskantha District Cooperative Milk Federation, Palanpur) is a dairy based in Banaskantha district of Gujarat, India and is Asia's largest dairy. It was founded in 1969 according to the 1961 rule of the National Dairy Development Board under Operation Flood. Galbabhai Nanjibhai Patel played an important role in the foundation of the dairy."
klass2,"Banca Carime SpA is an Italian regional bank in Southern Italy. The bank is a subsidiary of UBI Banca. As of 31 December 2014, the bank had 216 branches, serving Calabria (84 branches), Apulia (93 branches), Campania (where Salerno located; 20 branches) and Basilicata (19 branches)."
klass2,"Banca Carime SpA is an Italian regional bank in Southern Italy. The bank is a subsidiary of UBI Banca. As of 31 December 2014, the bank had 216 branches, serving Calabria (84 branches), Apulia (93 branches), Campania (where Salerno located; 20 branches) and Basilicata (19 branches)."
klass2,"Banca Carime SpA is an Italian regional bank in Southern Italy. The bank is a subsidiary of UBI Banca. As of 31 December 2014, the bank had 216 branches, serving Calabria (84 branches), Apulia (93 branches), Campania (where Salerno located; 20 branches) and Basilicata (19 branches)."
klass2,"Banca Carime SpA is an Italian regional bank in Southern Italy. The bank is a subsidiary of UBI Banca. As of 31 December 2014, the bank had 216 branches, serving Calabria (84 branches), Apulia (93 branches), Campania (where Salerno located; 20 branches) and Basilicata (19 branches)."
