"s","o"
"http://dbpedia.org/resource/Balapara_Union","Balapara Union (Bengali: বালাপাড়া ইউনিয়ন)  is a union of Dimla Upazila in Nilphamari District."
"http://dbpedia.org/resource/Baryliv","Baryliv (Ukrainian: Бари́лів) is a small village (selo) in Radekhiv Raion, Lviv Oblast of Western Ukraine.Area of the village is just 1,48 km2 and the population of village is just about 427 persons. Local government is administered by Barylivska village council."
"http://dbpedia.org/resource/Basilica_of_Our_Lady_of_Geneva","The Basilica Notre-Dame of Geneva is the main Roman Catholic church in Geneva, Switzerland, the old Saint-Pierre cathedral being now a Protestant parish.The statue of Our Lady of Geneva, offered by the Pope Pius IX, is venerated. It is also a stopover for pilgrims going to Santiago de Compostela. The basilica marks somehow the beginning of the via Gebennensis, which extends from Le Puy-en-Velay in via Podiensis.The motto of Our Lady of Geneva is Nuntia Pacis, Latin for Peace Messenger."
"http://dbpedia.org/resource/Basivka","Basivka (Ukrainian: Басі́вка) – village in Pustomyty Raion, Lviv Oblast in western Ukraine.The village covers an area of 2,39 km2 at an altitude of 305 metres (1,000 ft) above sea level.The population of village is just about 1042 persons and local government is administered by the Hodovytsko-Basivska village council."
"http://dbpedia.org/resource/Bengtsfors_Church","Bengtsfors Church (Swedish: Bengtsfors kyrka) belongs to the Ärtemark parish in the Diocese of Karlstad, Sweden. It is situated on a point in the Lelång Lake in the municipality of Bengtsfors."
"http://dbpedia.org/resource/Bexhövede","Bexhövede is a town in the Cuxhaven district of Lower Saxony, Germany which was incorporated into the municipality of Loxstedt in 1974.  It is well known for being the origin of the noble Buxhoeveden family."
"http://dbpedia.org/resource/Bhidauni","Bhidauni (Hindi: भिदौनी) is a village and a gram panchayat (ग्रामपंचायत) in Nauhjhil Block, Mat Tehsil of Mathura district, Uttar Pradesh, India. Bhidauni is about 45 kilometres from Mathura on the Raya Road joining to Bajna Road. Surir is a town located three kilometers away from the village."
"http://dbpedia.org/resource/Biberg","Biberg is a village in the municipality of Kipfenberg in the district of Eichstätt in Bavaria, Germany. It is located roughly 10 km south of Kipfenberg and 20 km north of Ingolstadt.  Biberg is within the Naturpark Altmühltal and is on a rolling plain along with the nearby villages of Schelldorf, Krut, Dunsdorf, and Appenzel."
"http://dbpedia.org/resource/Big_Island_Mainland_93,_Ontario","Big Island Mainland 93 is a First Nations reserve of the Anishnaabeg of Naongashiing located near Lake of the Woods in Ontario."
"http://dbpedia.org/resource/Biripali","Biripali is a village located in Bangomunda of Balangir district, Orissa. Biripali Panchayat combined with Biripali, Bedapara, Kuturabeda, Tetelpara with Total Population 4099. Bhubaneswar is the state capital for Biripali village."
"http://dbpedia.org/resource/Bokobá_Municipality","Bokobá Municipality (In the Yucatec Maya Language: “splashing water”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (48.54 km2) of land and located roughly 45 km east of the city of Mérida."
"http://dbpedia.org/resource/Buchaly","Buchaly (Ukrainian: Буча́ли) is a village (selo) in Horodok Raion, Lviv Oblast of Western Ukraine.The population of the village is just about 1, 345 people and the local government is administered by Buchalivska village council."
"http://dbpedia.org/resource/Buchi_Lami","Buchi Lami (Hindi: बुचिलामी) is a small village located in Padwa Block of Palamu district, Jharkhand state, India. According to census (2011), The Buchi Lami village has population of 886 of which 443 are males while 443 are females."
"http://dbpedia.org/resource/Bugalhos","Bugalhos is a civil parish in the municipality of Alcanena, Portugal. The population in 2011 was 1,084."
"http://dbpedia.org/resource/Bäcke_Church","Bäcke Church (Swedish: Bäcke kyrka) in the Bengtsfors Municipality belongs to the Bäcke-Ödskölts parish in the Diocese of Karlstad, Sweden."
"http://dbpedia.org/resource/Bílá_(Liberec_District)","Bílá is a village and municipality (obec) in Liberec District in the Liberec Region of the Czech Republic. The municipality covers an area of 26.38 square kilometers (10.19 sq mi) and has a population of 902 (as of December 2013)."
"http://dbpedia.org/resource/Cacalchén_Municipality","Cacalchén Municipality (In the Yucatec Maya Language: “place of the well with two mouths”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (76.64 km2) of land and located roughly 40 km east of the city of Mérida."
"http://dbpedia.org/resource/Cascina_Sant'Ambrogio","Cascina Sant'Ambrogio is the oldest farm in Brugherio, Italy. It is annexed to Saint Ambrose Church from which it takes its name."
"http://dbpedia.org/resource/Case_Medical_Centre","Case Medical Centre, also known as Case Hospital, is an urban, private, upscale, tertiary hospital in Kampala, the capital of Uganda and the largest city in that country. It is one of the five upscale private tertiary care hospitals in the city. The other four hospitals are: International Hospital Kampala, Kampala Hospital, Nakasero Hospital  and Paragon Hospital."
"http://dbpedia.org/resource/Cathedral_of_the_Holy_Spirit,_Palmerston_North","The Cathedral of the Holy Spirit is the cathedral of the Roman Catholic Diocese of Palmerston North, New Zealand. It was opened in 1925 as St Patrick's Church and was rededicated to the Holy Spirit as the cathedral when the diocese was established in 1980. In 1988 the cathedral was renovated, added to and reordered. The building was designed by the notable architect Frederick de Jersey Clere. The building was designated a Category 1 historic place by the New Zealand Historic Places Trust in 1990."
"http://dbpedia.org/resource/Chapab_Municipality","Chapab Municipality (In the Yucatec Maya Language: “Place of oily water”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (168.62 km2) of land and located roughly 85 km south of the city of Mérida."
"http://dbpedia.org/resource/Chaumuha_Tehsil","Chaumuha Tehsil is a small tehsil in Mathura District of Uttar Pradesh. Chaumuha Tehsil Head Quarters is Chaumuha town.  It belongs to Agra Division. Chaumhha Tehsil is located on National Highway 2 between Kosi Kalan & Mathura. It is 19 km from Mathura City. There is an Ajhai Railway Station near the Chaumhha Tehsil."
"http://dbpedia.org/resource/Chelin,_Switzerland","Chelin (pronounce /xәlíṅ/ in patois) is a village of the municipality of Lens in the district of Sierre in Switzerland."
"http://dbpedia.org/resource/Chhatrish_Ganda","Chhatrish Ganda is a large village under Jamuria block of Asansol subdivision in Bardhaman district in the state of West Bengal, India. It is a suburb of Asansol."
"http://dbpedia.org/resource/Chicxulub_Pueblo_Municipality","Chicxulub Pueblo Municipality (In the Yucatec Maya Language: “horn lit place or flea devil”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (196.72 km2) of land and located roughly 25 km north of the city of Mérida. The area was considered the epicenter of the Chicxulub crater."
"http://dbpedia.org/resource/Christ_Church,_Chesterfield","Christ Church, Chesterfield is a parish church in the Church of England in Chesterfield, Derbyshire."
"http://dbpedia.org/resource/Chuchmany","Chuchmany (Ukrainian: Чучмани́) – a small village (selo) in the  Lviv Oblast (province), Busk Raion of Western Ukraine.Is currently living in the village of about 297 persons and local government is administered by Humnyska village council."
"http://dbpedia.org/resource/Church_St._George,_Beljakovce","The Church St. George, Beljakovce (Црква „Свети Ѓорѓи“ Бељаковце) is a orthodox Christian church in Beljakovce, Kumanovo, Macedonia."
"http://dbpedia.org/resource/Church_St._Nicholas,_Beljakovce","Church St. Nicholas, Beljakovce (Црква „Свети Никола“  Бељаковце) is a Christian Macedonian Orthodox church in Beljakovce, Kumanovo, Macedonia."
"http://dbpedia.org/resource/Church_of_Our_Lady_of_Perpetual_Succour","The Church of Our Lady of Perpetual Succour, also known as OLPS Church , is a Roman Catholic church in the Archdiocese of Singapore. It is located at Siglap Hill, Singapore, within the Siglap housing estate. It is a short walk from the Kembangan MRT Station and a few bus stops away from the Bedok HDB estate."
"http://dbpedia.org/resource/Church_of_St._Martin_in_the_Wall","The Gothic church with Romanesque ground is situated in the Old Town in Prague.It was built between 1178-1187 in the former village Újezd, which was then called Újezd u svatého Martina. The construction of the church south wall was adjacent to the walls of the Old Town hence the full name of the church contains ""in the wall"". This church belongs to the Evangelical Church of Czech Brethren."
"http://dbpedia.org/resource/Church_of_St_James,_Twickenham","The Church of St James, Twickenham is a Roman Catholic church at 61 Pope's Grove, Twickenham, in the London Borough of Richmond upon Thames.  It is dedicated to St James the Apostle."
"http://dbpedia.org/resource/Church_of_St_Margaret_of_Scotland","The Church of St Margaret of Scotland is a Roman Catholic church on St Margaret’s Road in St Margarets, Twickenham, in the London Borough of Richmond upon Thames.  It was designed by the architect Austin Winckley and opened in 1969. In 1999 it became a Grade II listed building.The church is named after the 11th-century English Saxon princess who became Queen of Scotland when she married Malcolm III and who was canonised by Pope Innocent IV in 1250.Mass is held on Saturday and Sunday evenings and every morning except on Thursdays."
"http://dbpedia.org/resource/Church_of_the_Ascension,_Stirchley_(II)","The Church of the Ascension, Stirchley is a parish church in the Church of England in Birmingham."
"http://dbpedia.org/resource/Clifford_Hospital","Founded in 2001, Clifford Hospital in Guangzhou, Guangdong, China is the first hospital in China accredited by Joint Commission International (JCI). Clifford Hospital covers an area of 90,000 square meters and has the capacity of 600 inpatients. It serves 3000 outpatients per day. Currently, a new inpatient building is under construction. The total number of inpatients beds will increase to 2,100 while the outpatient clinical visits is anticipated to increase to 12,000 once the building is complete. The hospital accepts both Chinese patients and patients from foreign countries, such as the US, Canada, Malaysia, India and  the Philippines. It has more than 40 clinical units."
"http://dbpedia.org/resource/Collegiate_church_of_St_Paul,_Rabat","The Collegiate Church of St Paul is a Roman Catholic parish church located in Rabat, Malta."
"http://dbpedia.org/resource/Colonial_War_Memorial_Hospital","The Colonial War Memorial Hospital is a hospital located in Suva, Fiji. It was built and completed at the end of 1923. It was built with the assistance of £319,500. It replaced the Colonial Hospital which was first built in Levuka (the former capital of Fiji) and relocated to Walu Bay in Suva in 1894."
"http://dbpedia.org/resource/Conkal_Municipality","Conkal Municipality (In the Yucatec Maya Language: “place of twenty sales” or ""place of the parasitic plant cuunka"") is one of the 106 municipalities in the Mexican state of Yucatán containing  (57.48 km2) of land and located roughly 16 km northeast of the city of Mérida."
"http://dbpedia.org/resource/Constance_Lake_92,_Ontario","Constance Lake 92 is a First Nations reserve in Cochrane District, Ontario. It is one of the reserves of the Constance Lake First Nation."
"http://dbpedia.org/resource/Convent_of_São_Francisco_(Vila_Franca_do_Campo)","The Convent of São Francisco (Portuguese: Convento de São Francisco), is a convent in the civil parish of São Pedro, in the municipality of Vila Franca do Campo, in the Portuguese archipelago of the Azores. Originally a monastic building housing Franciscan monks, the building was converted into a lodgings at the turn of the century."
"http://dbpedia.org/resource/Cosmos_Hotel","The Cosmos Hotel Moscow is located in central-northern Moscow on one of the city's major streets - prospect Mira, in green district, just 20 minutes drive to the centre. It is next to the VDNKh , close to Ostankino Telecom Tower, Olympic Stadium and ""Sokolniki"" Exhibition Complex.The architectural asceticism expressed by the simplicity and harmony of its construction and the combination of glass and steel make the hotel similar to the spaceship striving to the universe. Even the interior of the hotel creates the atmosphere of cosmic freedom, purity and relaxation.   * Floors - 25   * Hotel Indoor Space - 106,113 sq.m.   * Hotel Outdoor Space - 40,000 sq.m.   * Total Guest Rooms Space - 36,626 sq.m.   * Guest Rooms Floor Space - 2,695 sq.m."
"http://dbpedia.org/resource/Cruagh","Cruagh (Irish: An Chraobhach) is a civil parish in South Dublin containing the townlands  of Cruagh, Killakee, Tibradden, Glendoo, Newtown, Jamestown, Woodtown and Orlagh.  It is situated south of Ballyboden on the R116 regional road near Rockbrook."
"http://dbpedia.org/resource/Dakshinkhan_Adarsha_Union_Parishad","Dakshinkhan Adarsha is a Union Parishad of Dhaka Metropolitan North, Dhaka District, Dhaka, Bangladesh. It is bounded by Gazipur Sadar Upazila on the north, Khilkhet Thana on the south, Uttarkhan Thana on the east and uttara and Shahjalal International Airport on the west. Population 5,29,500 (Approximate). Dakshinkhan Thana was formed in 2006. The thana was named after Dakshinkhan Adarsha Union Parishad. Average literacy 68.87%; male 73.57%, female 63.06%."
"http://dbpedia.org/resource/Dals-Långed_Church","Dals-Långed Church (Swedish: Dals-Långeds kyrka) belongs to the Steneby-Tisselskogs parish in the Diocese of Karlstad, Sweden. The church is in the locality of Dals Långed in the Bengtsfors Municipality."
"http://dbpedia.org/resource/Dargah-e-Ala_Hazrat","Dargah-e-Ala Hazrat is Dargah (tomb) of Ahmed Raza Khan(1856–1921), a 19th century Hanafi jurist, who is known for his staunch opposition of Wahhabis in India.The Dargah is situated in Bareilly, a city in Indian State of Uttar Pradesh.The Dargah is a spiritual center for the Sunni Muslims of South Asia. Annual observation of Urs is held at the Dargah. People from every corner of earth visit for the Use-e-Rizvi.In 2014 during the observation of death anniversary of Ahmed Raza Khan (Urs-e-Razwi) in 2014 at the Dargah-e-Ala Hazrat  Muslim clerics condemned the terrorism practiced by the Taliban, and the ideology of the Wahhabi sect."
"http://dbpedia.org/resource/Debnathpur","The Tehatta subdivision is a subdivision of the Nadia district in the Indian state of West Bengal. It consists of four community development blocks: Karimpur–I, Karimpur–II, Tehatta I and Tehatta II. The four blocks contain thirty six gram panchayats and one census town. The subdivision's headquarters is located at Tehatta."
"http://dbpedia.org/resource/Dongchon","Dongchon was a township, or myeon in Dalseong County, North Gyeongsang, South Korea. The area corresponds to neighbourhoods (dong) of Dong District, Daegu. Haean-myeon was renamed Dongchon-myeon in 1940 and it was annexed by Daegu in 1958. Dongchon Town Office was located in Ipseok-dong, which is crowded with people."
"http://dbpedia.org/resource/Duliby,_Stryi_Raion","Duliby (Ukrainian: Дулі́би) is a village (selo) located along the Stryi River in the Stryi Raion (district) of the Lviv Oblast (province) in  Western Ukraine.The population of the village is about 3 671 people. Local government is administered by Dulibivska village council."
"http://dbpedia.org/resource/Dzoncauich_Municipality","Dzoncauich Municipality (In the Yucatec Maya Language: “Cauich's rifle”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (355.12 km2) of land and located roughly 85 km northeast of the city of Mérida."
"http://dbpedia.org/resource/Emanuel_African_Methodist_Episcopal_Church","The Emanuel African Methodist Episcopal Church in Charleston, South Carolina, founded in 1816, is the oldest African Methodist Episcopal church in the Southern United States. Founded in the first year of the new denomination, it is one of the oldest black congregations south of Baltimore, Maryland."
"http://dbpedia.org/resource/Emmanuel_Church,_Bentley","Emmanuel Church, Bentley is a parish church in the Church of England in Bentley, West Midlands."
"http://dbpedia.org/resource/Factory_Island_1,_Ontario","Factory Island 1 is a Cree First Nations reserve on Moose Factory Island in northern Ontario. It is one of two reserves for the Moose Cree First Nation."
"http://dbpedia.org/resource/First_Presbyterian_Church_(Mount_Holly,_New_Jersey)","First Presbyterian Church of Mount Holly is a historic congregation in Mount Holly, New Jersey, founded in 1839."
"http://dbpedia.org/resource/First_Presbyterian_Church_(Pennington,_New_Jersey)","First Presbyterian Church of Pennington is an historic congregation in Pennington, New Jersey that started in 1709.  The current building dates to 1875 after an 1847 Gothic structure burned down the previous year."
"http://dbpedia.org/resource/Flekkefjord_Church","Flekkefjord Church is an octagonal church from 1833 in Flekkefjord in Vest-Agder, Norway. The church was built after drawings made by the architect Hans Linstow.The church is built in wood and has 650 seats. It is characterized by Empire style, with galleries with audience seating on two floors along five of the walls. The altarpiece is a gold cross in an arch, flanked by columns carrying a gable. Also the pulpit is from 1938 and signed by Linstow. Todays church organ is built specifically for Flekkefjord church by Marcussen & Sons Orgelbyggeri in Aabenraa, Denmark, and was finished in 1983. The organ has 24 voices."
"http://dbpedia.org/resource/Florida_Oeste,_Buenos_Aires","Florida Oeste is a barrio of the Vicente López Partido in the northern suburbs of Greater Buenos Aires, Argentina. It is principally a middle-class and industrial neighbourhood located between the barrios of Villa Martelli and Munro, also in the same partido (department)."
"http://dbpedia.org/resource/Fujian_Free-Trade_Zone","Fujian Free-Trade Zone (Fujian FTZ, colloquially known as 福建自由贸易区/福建自贸区 in Chinese), officially China (Fujian) Pilot Free-Trade Zone (Chinese: 中国（福建）自由贸易试验区; pinyin: Zhōngguó (Fújiàn) Zìyóu Màoyì Shìyànqū) is a free-trade zone in Fujian province, China. It is a free-trade zone near Taiwan. The zone covers an area of 118.04 square kilometres and integrates three existing bonded zones in three areas — Pingtan Subdistrict (43 square kilometres), Fuzhou Subdistrict (31.26 square kilometres) and Xiamen Subdistrict (43.78 square kilometres). Fujian FTZ was founded in Mawei District, Fuzhou on April 21, 2015."
"http://dbpedia.org/resource/Gangadharpur","Gangadharpur is a census town in Hooghly District in the state of West Bengal, India. It is under Chanditala police station. in Srirampore subdivision.It is 26 KM from District head quarters Hooghly. 30 KM from State capital Kolkata."
"http://dbpedia.org/resource/Georgetown_University_Library","Georgetown University Library is the library system of Georgetown University in Washington, D.C.. The library's holdings now contain approximately 3.5 million volumes housed in seven university buildings across 11 separate collections."
"http://dbpedia.org/resource/Gibo_Station","Gibo Station (儀保駅, Gibo-eki) is a railway station on the Okinawa Monorail (Yui Rail) in Naha, Okinawa Prefecture, Japan."
"http://dbpedia.org/resource/Government_General_Hospital,_Nizamabad","Government General Hospital, also known as Nizamabad Government Hospital, is a major state-owned hospital situated in Nizamabad, Telangana.  The hospital is funded and managed by the state government of Telangana.It is one of the largest hospitals in the state."
"http://dbpedia.org/resource/Great_North_Children's_Hospital","The Great North Childrens Hospital (GNCH) is a tertiary referral centre in Newcastle upon Tyne, England.The hospital is managed by the Newcastle upon Tyne Hospitals NHS Foundation Trust and is a teaching hospital for the University of Newcastle upon Tyne.  It is one of only 14 such children's hospitals in the United Kingdom."
"http://dbpedia.org/resource/Great_Parks_of_Hamilton_County","Great Parks of Hamilton County is the park district of Hamilton County, Ohio, United States. It was established in 1930 and was known as the Hamilton County Park District until 2014. The park system includes 17 parks and 4 conservation areas. It is governed by a board of park commissioners. Park headquarters are located in the second largest park in the system, Winton Woods. The county park system also coordinates with the Cincinnati Park Board."
"http://dbpedia.org/resource/Gros_Cap_49,_Ontario","Gros Cap 49 is a First Nations reserve located near Wawa, Ontario. It is one of four reserves of the Michipicoten First Nation."
"http://dbpedia.org/resource/Guangdong_Free-Trade_Zone","Guangdong Free-Trade Zone (Guangdong FTZ, colloquially known as 广东自由贸易区/广东自贸区 in Chinese), officially China (Guangdong) Pilot Free-Trade Zone (Chinese: 中国（广东）自由贸易试验区; pinyin: Zhōngguó (Guǎngdōng) Zìyóu Màoyì Shìyànqū) is a free-trade zone in Guangdong province, China. It is a free-trade zone near Hong Kong and Macau. The zone covers an area of 116.2 square kilometres and integrates three existing bonded zones in four areas — Nansha New Area in Guangzhou (60 square kilometres), Qianhai and Shekou Industrial Zone (Qianhai Shekou Subdistrict) in Shenzhen (28.2 square kilometres) and Hengqin Subdistrict in Zhuhai (28 square kilometres)."
"http://dbpedia.org/resource/Gunabati_Union","Gunabati Union (Bengali: গুণবতী) is a union, situated at Chauddagram, Comilla."
"http://dbpedia.org/resource/Guryongpo","Guryongpo is a town, or eup in Nam-gu, Pohang, North Gyeongsang Province, South Korea. The township Changju-myeon was upgraded to the town Guryongpo-eup in 1942. Guryongpo Town Office is located in Hudong-ri."
"http://dbpedia.org/resource/Halifax_Tool_Library","Halifax Tool Library (HTL) is a tool lending library based in Halifax, Nova Scotia, Canada. Members pay an annual subscription and may borrow specialized tools for home repair, maintenance, building projects, community projects, gardening and landscaping. The HTL is a Community Service Co-operative registered under the NS Co-operative Act. The HTL offers standard, Student/Low-Income option, and organizational memberships to non-profits and small businesses. The HTL is supported by Dalhousie University student union, Ecology Action Centre, Parker Street food & furniture bank, Forest Friend, Bike Again, North Brewing Company, Catalyst, Fusion HFX, Deiter's tool and Saw."
"http://dbpedia.org/resource/Hayang","Hayang is a town, or eup in Gyeongsan, North Gyeongsang Province, South Korea. The township Hayang-myeon was upgraded to the town Hayang-eup in 1973. Hayang Town Office is located in Geumnak-ri, which is crowded with people."
"http://dbpedia.org/resource/Henvey_Inlet_2,_Ontario","Henvey Inlet 2 is a First Nations reserve in Parry Sound District, Ontario, on the northeastern shore of Georgian Bay. It is one of two reserves of the Henvey Inlet First Nation."
"http://dbpedia.org/resource/Heunghae","Heunghae is a town, or eup in Buk-gu, Pohang, North Gyeongsang Province, South Korea. The township Uichang-myeon was upgraded to the town Uichang-eup in 1980, and it was renamed Heunghae-eup in 1983. Heunghae Town Office is located in Okseong-ri."
"http://dbpedia.org/resource/Hoctún_Municipality","Hoctún Municipality (In the Yucatec Maya Language: “where the stone is quarried or ripped”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (123.91 km2) of land and located roughly 45 km east of the city of Mérida."
"http://dbpedia.org/resource/Holiday_Inn_Downtown_Montreal","Holiday Inn Downtown Montreal is a hotel and apartment complex under construction in Montreal, Quebec, Canada. It is located on René Lévesque Boulevard West at the intersection of Lucien-L'Allier Street in Downtown Montreal.The hotel will have 220 rooms and is located on the first ten floors. It is branded as a Holiday Inn.The apartment section consists of 250 rental apartments and is located on the upper thirty floors.Construction began in October 2014 with a completion date in 2017."
"http://dbpedia.org/resource/Holy_Trinity_Church,_Chesterfield","Holy Trinity Church, Chesterfield is a Grade II listed parish church in the Church of England in Chesterfield, Derbyshire."
"http://dbpedia.org/resource/Holy_Trinity_Church,_Heath_Town","Holy Trinity Church, Heath Town is a Grade II listed parish church in the Church of England in Wolverhampton"
"http://dbpedia.org/resource/Holy_Trinity_Church,_Lickey","Holy Trinity Church, Lickey is a Church of England parish church in Lickey, Worcestershire."
"http://dbpedia.org/resource/Holy_Trinity_Church,_Micklegate,_York","Holy Trinity Church, Micklegate, York is a Grade I listed parish church in the Church of England in York."
"http://dbpedia.org/resource/Holy_Trinity_Twickenham","Holy Trinity Twickenham is a Church of England church on Twickenham Green in Twickenham in the London Borough of Richmond upon Thames. Its vicar is Tim Garrett. The church building dates from 1841."
"http://dbpedia.org/resource/Homún_Municipality","Homún Municipality (In the Yucatec Maya Language: “Unripened”) is one of the 106 municipalities in the Mexican state of Yucatán containing  (192.89 km2) of land and located roughly 50 km southeast of the city of Mérida."
"http://dbpedia.org/resource/Humnyska","Humnyska (Ukrainian: Гумни́ська) is a village (selo) in Busk Raion, Lviv Oblast of Western Ukraine.The village covers an area of 2,389 km2 at an altitude of 218 metres (720 ft) above sea level. Local government is administered by Humnyska village council.A village Chuchmany is also in the structure of local government."
"http://dbpedia.org/resource/Hwawon-eup","Hwawon is a town, or eup in Dalseong County, Daegu, South Korea. The township Hwawon-myeon was upgraded to the town Hwawon-eup in 1992. Hwawon Town Office are located in Cheonnae-ri, which is crowded with people."
"http://dbpedia.org/resource/Hålanda_Church","Hålanda Church (Swedish: Hålanda kyrka) is a church in Hålanda, Skepplanda-Hålanda, in the diocese of Gothenburg, which lies in Västergötland, Sweden."
