"s","o"
"http://dbpedia.org/resource/Adam_Bradford","Adam Bradford (born 11 September 1992) is an English social activist, entrepreneur and business adviser.He has acted as an adviser to young entrepreneurs internationally and worked to develop entrepreneurship initiatives in the United Kingdom. He has also acted as an ambassador for young people's enterprise development as part of the Peter Jones Enterprise Academy."
"http://dbpedia.org/resource/Adam_Gibson_(computer_scientist)","Adam Gibson (born November 7, 1989) is an American entrepreneur and computer scientist. He co-founded the artificial intelligence/machine learning company Skymind and the open source frameworks Deeplearning4j and ND4J, or n-dimensional arrays for Java. He is also advisor to the data science master's program at GalvanizeU in San Francisco."
"http://dbpedia.org/resource/Adam_Gubman","Adam Gubman is an American songwriter, arranger, and composer. Gubman is known in the music industry for being one of the most versatile composers/songwriters, with a personal and deep vision of sound. Gubman's work varies from music from video games to pop and to television program's soundtrack, and it has been featured on dozens of television shows and commercials (including ""America's Got Talent"", ""Taboo"", ""G4Tech TV"", ""MTV"", ""Real Housewives of Miami"", ""Aurora"" and ""Alguien Te Mira"" by Univision , ""Corazòn Valiente"", multiple national ""SKECHERS"" campaigns). With more than 550 video game titles under his belt, Gubman composed for major interactive industry leaders (including ""Ubisoft"", ""Nexon"", ""Sony Online Interactive"", ""Activision"", ""Square Enix"", ""Konami"", ""Electronic Arts"", ""GSN"", ""Storm8"", ""Gree"",""Playdom"",""PlayFirst"", and Disney Online Interactive).Gubman has released many albums, but only two under his artist name 'Adam Gubman': ""Sunday Rain"" (1994) and ""Dark Matter"" (2014), which is a collection of 12 horror orchestral cues."
"http://dbpedia.org/resource/Adam_Gubman","Adam Gubman is an American songwriter, arranger, and composer. Gubman is known in the music industry for being one of the most versatile composers/songwriters, with a personal and deep vision of sound. Gubman's work varies from music from video games to pop and to television program's soundtrack, and it has been featured on dozens of television shows and commercials (including ""America's Got Talent"", ""Taboo"", ""G4Tech TV"", ""MTV"", ""Real Housewives of Miami"", ""Aurora"" and ""Alguien Te Mira"" by Univision , ""Corazòn Valiente"", multiple national ""SKECHERS"" campaigns). With more than 550 video game titles under his belt, Gubman composed for major interactive industry leaders (including ""Ubisoft"", ""Nexon"", ""Sony Online Interactive"", ""Activision"", ""Square Enix"", ""Konami"", ""Electronic Arts"", ""GSN"", ""Storm8"", ""Gree"",""Playdom"",""PlayFirst"", and Disney Online Interactive).Gubman has released many albums, but only two under his artist name 'Adam Gubman': ""Sunday Rain"" (1994) and ""Dark Matter"" (2014), which is a collection of 12 horror orchestral cues."
"http://dbpedia.org/resource/Adam_Kilgarriff","Adam Kilgarriff (12 February 1960 – 16 May 2015) was a corpus linguist, lexicographer and co-author of Sketch Engine."
"http://dbpedia.org/resource/Adnan_Buyung_Nasution","Adnan Buyung Nasution, also known as Adnan Bahrum Nasution (20 July 1934 – 23 September 2015) was an Indonesian lawyer, advocate, and activist in Indonesia. He founded the Legal Aid Institute in Indonesia.    He was well known as a human rights and pro-democracy activist during the reign of Indonesia's late President Suharto. From the years 2007 to 2009, Adnan was inducted as a member of the Presidential Advisory Council's Legal Department.Nasution died in Jakarta in 23 September 2015 from renal failure and heart failure."
"http://dbpedia.org/resource/Adrian_Corker","Adrian Corker (born 1969) is a British composer  based in London. He is also a sound artist and film score composer.Corker is best known for his work scoring films and tv dramas such as Florian Hoffmeister's 3° kälter or Antonia Bird's The Village, and his collaborative work with Paul Conboy and Portico Quartet."
"http://dbpedia.org/resource/Adrian_Timmis","Adrian Timmis (born 20 June 1964) is an English professional racing cyclist.In 1981 he rode in the British National Track Championships. He then represented Britain in the team pursuit event at the 1984 Olympic Games in Los Angeles. Between 1986 and 1995, he was a professional cyclist. He rode the Tour de France in  1987, and competed in the international Paris-Nice race, Criterium International, Tour de Romandie, Liège–Bastogne–Liège, La Flèche Wallonne, Amstel Gold and the Het Volk.Towards the end of its professional career, he began mountain biking in 1989, while going  forward to ride  for Raleigh Cycles.He worked for the Linda McCartney Foods team and the British National team in the World Championships, Olympic Games and Commonwealth Games."
"http://dbpedia.org/resource/Adriana_Chechik","Adriana Chechik (born November 4, 1991) is an American pornographic actress."
"http://dbpedia.org/resource/Agnieszka_Renc","Agnieszka Renc (born 9 January 1986 in Warsaw) is a competitive rower from Poland."
"http://dbpedia.org/resource/Aidan_Key","Aidan Key (born January 22, 1964) is an educator, author, speaker, and community organizer. As a transgender man active in LGBT rights, Key's ground-breaking. work includes developing policies and procedures for the equality of transgender children in schools grades K-12.  Key’s work with K-12 schools includes challenging topics such as gender neutral bathrooms (unisex), transgender student athletic participation, locker rooms, privacy, disclosure, name and gender changes.  His expertise on gender nonconformity in children has informed gender-inclusive policy work within the WA Office of Superintendent of Public Instruction (OSPI), the Washington Intercollegiate Activities Association, and Seattle Public Schools.Key authored the Trans Bodies, Trans Selves manual addressing the support and understanding of transgender children (Oxford University Press 2014, ISBN 978-0199325351).  He co-authored, Gender Cognition in Transgender Children, (Psychological Science, 2015), and has contributed to various blogs including Huffington Post, and Welcoming Schools"
"http://dbpedia.org/resource/Aika_Ando","Aika Ando (安藤 あいか, Andō Aika, born July 9, 1984, in Tokyo, Japan) is a Japanese gravure idol and profesional wrestler who is represented by the talent agencies, Newgate Production and Ice Ribbon."
"http://dbpedia.org/resource/Aina_More","Aina Morenike Olukoga (Born May 12) better known by her stage name Aina More is an English MC, Singer and Actor originally from Nigeria."
"http://dbpedia.org/resource/Airavt","Himanshu Purohit (born 1 July 1992), better known by his stage name Airavt (stylized as ɅIRɅVT), is an Indian Entrepreneur, EDM DJ, Musician and electro house record producer"
"http://dbpedia.org/resource/Airi_Furukawa","Airi Furukawa (古川 愛李, Furukawa Airi, born 13 December 1989 in Aichi Prefecture) is a member of the Japanese idol girl group SKE48. She is a member of SKE48's Team KII."
"http://dbpedia.org/resource/Airi_Tanigawa","Airi Tanigawa (谷川 愛梨, Tanigawa Airi, born 5 December 1995 in Osaka Prefecture) is a member of the Japanese idol girl group NMB48. She is a member of NMB48's Team M."
"http://dbpedia.org/resource/Ajay_Chandrakar","Ajay Chandrakar  (born 24 June 1963) is a cabinet minister in the Bharatiya Janata Party ruled government of Chhattisgarh state of India. He is serving as Panchayat and Rural Development, Culture, Tourism and Parliamentary Affairs Minister of Chhattisgarh State. After losing in 2008 assembly elections, he bounced back with the record win in any constutuency of Dhamtari ditrict. In 2003, he became a part of the Chattisgarh government as a Panchayat and Rural Development Minister as well as a Minister of Parliamentary Affairs. In 2004, he was also assigned the portfolios of Science and Technology, Technical Education, and Manpower Planning. Due to a reshuffling of the cabinets in 2007, he was made the Minister of Higher Education."
"http://dbpedia.org/resource/Ajay_Srinivasan","Ajay Srinivasan (born on Nov 2 1963) is the Chief Executive of Financial Services at the Aditya Birla Group. The Aditya Birla Financial Services Groupis a significant non-bank conglomerate, encompassing many lines of financial services business of Aditya Birla Group.Srinivasan first became CEO in 1998, at the age of 34, leading Prudential ICICI Asset Management Company, Prudential's Indian fund management joint venture with ICICI Bank. Srinivasan, has pan-Asia experience and has worked in all forms of organizations, from MNCs to Indian Companies."
"http://dbpedia.org/resource/Ajit_Johnson","Ajit Johnson (born 16 October 1988) is an Indian scientist and artist. His campaign to raise awareness on tech addiction gained international recognition. His other major campaigns included raising awareness for net neutrality in India and support for acid attack survivors."
"http://dbpedia.org/resource/Aka_Plu","Yuko Matsuoka (松丘 夕子, Matsuoka Yūko, née Kusama (草間), born September 26, 1977, in Jōsō, Ibaraki Prefecture, Japan), better known as Aka Plu (赤 プル, Aka Puru), is a Japanese comedian who is represented by the talent agency, Ohta Production. Her old stage name was Akai Plutonium (赤い プルトニウム, Akai Purutoniumu). Her husband is Shingo Matsuoka which they were a comedy duo called Aka Plu to Danna (which renamed to Chime in March 2015).Plu graduated from Ibaraki Prefectual Mitsukaido Second High School."
"http://dbpedia.org/resource/Akari_Yoshida","Akari Yoshida (吉田 朱里, Yoshida Akari, born 16 August 1996 in Osaka Prefecture) is a member of the Japanese idol girl group NMB48. She is a member of NMB48's Team N."
"http://dbpedia.org/resource/Akhil_Mehta","Akhil Mehta (Delhi, September 19, 1987 - Ghaziabad, March 28, 2015) was an Indian Entrepreneur & comedian. He was known for his Twitter and Facebook Satire Communities with followers over 270,000. He was the president of Student Union in Birla Institute of Technology and Science, Pilani – Goa Campus. He was an influential social media personality and was known for his outspokenness. He wrote against Corruption, Religion, Hypocrisy or any other wrongdoings he saw in the society in a humorous manner and millions of people liked it."
"http://dbpedia.org/resource/Akie_Asaka","Akie Sato (佐藤 秋恵, Satō Akie, née Shuto (首藤, Shutō), born October 23, 1956, in Ōita, Ōita Prefecture, Japan), better known as Akie Asaka (浅香 あき恵, Asaka Akie), is a Japanese comedian who is represented by the talent agency, Yoshimoto Kogyo.Asaka was a resident in Kita-ku, Sakai, Osaka Prefecture. She is also an actress for Yoshimoto Shinkigeki."
"http://dbpedia.org/resource/Akihisa_Shiono","Akihisa Shiono (塩野 瑛久, Shiono Akihisa, born January 3, 1995, in Tokyo) is a Japanese actor and model who is affiliated with Oscar Promotion. He played the role of Souji Rippukan (Kyoryu Green) in the 2013 Super Sentai TV series Zyuden Sentai Kyoryuger."
"http://dbpedia.org/resource/Akiko_Kikuchi","Akiko Kikuchi (菊池 亜希子, Kikuchi Akiko, born August 26, 1982, in Ōno, Ibi District, Gifu, Japan) is a Japanese model and actress who is represented by the talent agency Ten Carat."
"http://dbpedia.org/resource/Ala_Younis","Ala Younis is a research-based artist and curator, based in Amman. Younis initiates journeys in archives and narratives, and reinterprets collective experiences that have collapsed into personal ones. Through research, she builds collections of objects, images, information, narratives, and notes on why/how people tell their stories. Her practice is based on found material, and on creating  materials when they cannot be found or when they do not exist."
"http://dbpedia.org/resource/Alan_Aguerre","Alan Aguerre (born 23 August 1990) is an Argentine footballer who plays as a goalkeeper for Vélez Sarsfield in the Argentine Primera División."
"http://dbpedia.org/resource/Alan_Beards","Alan Beards (born 19 October 1932) was an English professional footballer who played as a winger. He made over 40 appearances in the Football League playing for Bolton Wanderers, Swindon Town and Stockport County."
"http://dbpedia.org/resource/Alan_Waddell","Alan Mossman Waddell (24 July 1914 – 2 September 2008) was an Australian walker who received national and international media attention for walking every street in over 280 suburbs in Sydney."
"http://dbpedia.org/resource/Alana_I._Capria","Alana I. Capria (born 1985) is an American writer. She is the author of the short story collection Wrapped in Red (Montag Press, 2014), novel Hooks and Slaughterhouse (Montag Press, 2013), and the chapbooks Organ Meat, Killing Me (Turtleneck Press, 2012) and ""Lilith"" (dancing girl press, 2015). She has an MFA in Creative Writing from Fairleigh Dickinson University. Capria resides in Northern New Jersey with her husband. Her style can be described as Feminist Horror and merges fantastical narrative with historical references, as well as poetry.Capria's books were part of an art exhibition called Post Partum Party at Rhombus Space, located in Red Hook, Brooklyn in 2014. For the exhibit, she joined other writers in reading from their latest books. Capria read from Organ Meat, Killing Me during the 2012 Boog City Poetry & Music Festival in Brooklyn.Her short fiction has been published in a number of literary magazines and has been nominated for the 2014 Best of the Net and the 2015 Pushcart Prize. Capria was a regular contributor with the literary groups Mighty Mercury and the Step Chamber. Her most recent books were published with the micro niche publishing group Montag Press, an Oakland, California based collective that is distributed by SPD Small Press Distribution.Wrapped in Red was illustrated by Katerina Lanfranco. Hooks and Slaughterhouse was illustrated by Rita Okusako. Capria has published her work extensively since 2009."
"http://dbpedia.org/resource/Alatenghua","Alatenghua (Chinese 阿拉腾花, Ala Tenghua, Tenghua Ala; born on January 22, 1993) — Chinese draughts player (International draughts). She was Women's Asian Champion 2014 Innernational master (MIF)."
"http://dbpedia.org/resource/Alayna_Westcom","Alayna Westcom (born May 19, 1991) is an American beauty pageant titleholder from Bakersfield, Vermont, who was crowned Miss Vermont 2015. She will compete for the Miss America 2016 title in September 2015."
"http://dbpedia.org/resource/Albert_West","Albertus Petrus Enricus Gerardus Westelaken (2 September 1949 – 4 June 2015), better known by his stage name Albert West, was a Dutch pop singer and record producer. He was the lead singer of the The Shuffles from 1963 to 1973. He was born in 's-Hertogenbosch, North Brabant."
"http://dbpedia.org/resource/Alberto_Frigo","Alberto Frigo (born 21 July 1979 in Asiago) is a conceptual media artist and an early proponent of lifelogging. He is known for having photographed every object his right hand has used since 24 September 2003 becoming perhaps the first to digitally document his life manually and for over ten years."
"http://dbpedia.org/resource/Alec_Torelli","Alec Michael Torelli (born March 24, 1987) also known by his moniker traheho, is an American professional poker player originally from California who specializes in live high stakes cash games. Torelli is formerly sponsored by Doyles Room.Although considered a cash game specialist, Torelli has had success in live tournaments. As of 2015, his total live tournament winnings exceed $1,500,000."
"http://dbpedia.org/resource/Aleksander_Bosak","Aleksander ""Alex"" Bosak (born 14 August 1993) is a Polish racing driver."
"http://dbpedia.org/resource/Aleksi_Toivonen","Aleksi Toivonen (born 12 December 1995) is an Australian / Finnish ice hockey player who plays as a Goaltender for the CBR Brave in the Australian Ice Hockey League (AIHL)."
"http://dbpedia.org/resource/Alex_And","Alex And(Alexey D. Andreev Russian: Анд Алексей Дмитриевич) is a Ukrainian artist, who first used the term of ""associative symbolism"" applied to contemporary art. He was included into list of top-20 painters of Ukraine. In 1996 Alex And became winner from popular artist of the first L1 auction of contemporary Ukrainian arts (National Art Museum of Ukraine, Kiev). At present time he lives and works in Kiev, Ukraine.In Russian ""United Artists Rating"" (issue XVII, 2010), Alex And is registered under the art-category 5B like a formed professional artist.And's works are in the public collections of the National Reserve Bank of Ukraine; of the Foundation ""Ukrainian Renaissance"" (Kiev); at the Museum of the Central Archives of the Ministry of Defense (Podolsk, Russia); in galleries and private collections in Ukraine, Russia, Western Europe and America."
"http://dbpedia.org/resource/Alex_Cormack","Alex Cormack (born October 8, 1982), is an American comic book illustrator.  He has best known for his work on the ""Oxymoron"" series from ComixTribe  and ""I Play the Bad Guy"" from Bliss on Tap Publishing."
"http://dbpedia.org/resource/Alex_Pella","Alex Pella (born 2 November 1972) is a Spanish yachtsman. In 2014 he became the first and only Spanish to win a transoceanic single-handed race, the legendary Route du Rhum."
"http://dbpedia.org/resource/Alex_Wright_(musician)","Alex Wright (born 28 August 1980) is a Canadian musician and producer. Since 2014, Wright has released solo recordings under the name The Wax Girl. Wright is also a former touring member for Raised by Swans, and is credited for performing guitar parts on seven songs from the critically acclaimed album, No Ghostless Place. In 2010, Wright appeared as himself in Atom Egoyan's film Chloe, for Raised by Swans' live performance at The Rivoli in Toronto, Canada."
"http://dbpedia.org/resource/Alexander_Klevan","Alexander Klevan (Александр Клеван; born on 22 October 1950 in Siberia, Russia; אלכסנדר קלבן)  is a Russian artist. Since 1990 he has lived in Israel.Klevan studied at The Lviv National Academy of Arts, Ukraine from 1974–79. He taught painting and composition at the School Of Art Design in Lvov from 1979–81. He has exhibited his art all over the USSR, and at international exhibitions in Norway, the United States, and Canada.Third-generation art gallery owner Menachem Safrai, who runs the Safrai Gallery in Jerusalem and also holds exhibitions outside of Israel, has exhibited his work. Exhibitions organized by Safrai Gallery between 1993 and 1995 include showings in Needham, Massachusetts; Providence, Rhode Island; Indianapolis, Indiana; Milwaukee, Wisconsin; Falls Church, Virginia; Framingham, Massachusetts; Skokie, Illinois; Rochester, New York; and Walnut Creek, California. Solo exhibitions of watercolors and oils in Jerusalem in 1995 (titled “Metamorphoses”) and Tel Aviv in 1996 (titled “Winter Mood”) were organized by the Safrai Gallery.Klevan participated in the 1996 ArtExpo in New York, and exhibited in Waltut Creek in 2000, in El Paso in 2002, and at the Blackheath Gallery in London in 2002–2003. He had a show Old City Caesarea Gallery, Israel, in 2004–2007.In 2004 he participated in a Safrai Gallery exhibition in Tucson. His show titled “Beauty Transformation” was presented in  Beit Asia, Tel Aviv, in 2005. In 2006, he participated in the Israeli Art Fair at Temple Sinai of Sharon and had a solo show titled  “Time Transformation” at the Opera Hadasha in Tel Aviv.Klevan has created his own recognizable style and absorbed the newest major influences, while holding to Israeli and Russian art’s rich traditions."
"http://dbpedia.org/resource/Alexandr_Dubovoy","Alexandr Dubovoy (Ukrainian: Олександр Федорович Дубовой, born 11 March 1976) is a Ukrainian politician. He has twice been elected the People's Deputy of Ukraine."
"http://dbpedia.org/resource/Alexandra_Cardenas","Alexandra Cardenas (born 1976) is a Columbian composer and improviser now based in Berlin, who has followed a path from Western classical composition to improvisation and live electronics . Her recent work has included Live coding performance, including performances at the forefront of the Algorave scene, and she was instrumental in the development of the Live Coding scene in Mexico City."
"http://dbpedia.org/resource/Alexandra_Curtis","Alexandra D. Curtis (born December 19, 1991) is an American beauty pageant titleholder from Pensacola, Florida, who was crowned Miss Rhode Island 2015. She will compete for the Miss America 2016 title in September 2015."
"http://dbpedia.org/resource/Alexandra_Lúgaro","Alexandra Lúgaro (born June 10, 1981) is a Puerto Rican politician and lawyer.  She is currently aspiring to be the first independent (no political party affiliation) Governor of the Commonwealth of Puerto Rico.  She studied at the University of Puerto Rico School of Law, Rio Piedras Campus.  She holds a B.S. in Business Administration.  She also holds a Juris Doctor.  She is about to finish her doctorate degree from the Madrid Complutense University.She has held executive positions in América Aponte y Asociados, a firm that had contracts with the Puerto Rican Department of Education."
"http://dbpedia.org/resource/Alexis_Spight","Alexis Spight (born July 3, 1993) is an American urban contemporary gospel musician, and runner-up on season five of the BET singing competition, Sunday Best. She started her music career, in 2012, with the single, ""Imagine Me"", and the song placed on the Hot Gospel Songs chart. Her first album, L.O.L. (Living Out Loud), was released in 2013 by Music World Gospel. This album was her Billboard magazine breakthrough release upon The Billboard 200, Gospel Albums, and Independent Albums charts."
"http://dbpedia.org/resource/Alfred_Rozelaar_Green","Alfred Rozelaar-Green, RWA  (14 July 1917 – 7 July 2013) was a British artist and founder of the Anglo-French Art Centre in St. John's Wood."
"http://dbpedia.org/resource/Alfredo_Olivas","Alfredo Olivas was born on October 1, 1994 in Ciudad Obregon, Sonora, Mexico. Olivas is a Ranchera, Norteña, and Corrido singer/songwriter and accordion player. He is popularly known as ""Alfredito"" (little Alfredo) or ""el Patroncito"" (after a song on the eponymous album, El Patroncito, 2011) He is best known for his narcocorridos."
"http://dbpedia.org/resource/Ali_Wallace","Alexis Nicole ""Ali"" Wallace (born September 8, 1993) is an American beauty pageant titleholder from Portland, Oregon, who was crowned Miss Oregon 2015. She will compete for the Miss America 2016 title in September 2015. Her mother, Tammy Fazzolari Wallace, was crowned Miss Oregon 1987."
"http://dbpedia.org/resource/Alicia_Kozakiewicz","Alicia Kozakiewicz is an American television personality, and Internet safety and missing persons advocate. Kozakiewicz is the founder of the Alicia Project, an advocacy group designed to raise awareness about online predators, abduction, and child sexual exploitation. She is also the namesake of ""Alicia's Law,"" which provides a dedicated revenue source for child rescue efforts. Kozakiewicz has joined the television network, Investigation Discovery (ID), to educate the public on, and effect change for, issues such as Internet safety, missing persons, human trafficking, and child safety awareness education.At the age of 13, Kozakiewicz was the victim of an Internet luring and child abduction that received widespread media attention. Her story and message have been chronicled on The Oprah Winfrey Show, Good Morning America, Dr. Phil, CNN, MSNBC, and the A&E Biography Channel. She has been the subject of an award-winning PBS internet safety documentary, ""Alicia's Message: I'm Here to Save Your Life,"" as well as, the Emmy award-winning ""Alicia's Story"" produced by Enough is Enough. Kozakiewicz has been featured in numerous national and international publications, such as People and Cosmopolitan.Kozakiewicz has addressed Congress on the issue of internet safety for children and Federal child rescue funding."
"http://dbpedia.org/resource/Aliko_Bala","Aliko Bala (born 27 February 1997) is a Nigerian professional footballer who plays for FK AS Trenčín as a winger."
"http://dbpedia.org/resource/Alvaro_Luna_Hernandez","Alvaro Luna Hernandez (born May 12, 1952) is a Chicano liberation and prison abolition activist from Alpine, Texas. He is currently serving a 50-year sentence for aggravated assault of a police officer. He is housed in solitary confinement at James V Allred Unit prison in Iowa Park, Texas where he was recently transferred after being incarcerated 18 years at Hughes Unit. He spends his time as ""Jailhouse Lawyer"", also known as an amateur attorney, assisting indigent inmates he believes to be innocent or deserving in their pursuit of justice."
"http://dbpedia.org/resource/Aman_Trikha","Aman Trikha (Hindi: अमन त्रिखा, Punjabi: ਅਮਨ ਤ੍ਰਿਖਾ ) (born 12 December 1986)  is a playback singer, performer, musician from Mumbai, a humble disciple of Hindustani Classical Music under the guidance of Ustad Maqbool Hussain Khan from Rampur Sahaswan Gharana. He has sung songs in many languages like Hindi, English, Punjabi, Kannada, Tamil, Malayalam, Telugu, Bhojpuri, Rajasthani, Gujarati, Marathi, Bangla, Oriya. He is the singer of Achhe din aane waale hain, the popular Loksabha Election 2014 Anthem of Bharatiya Janata Party."
"http://dbpedia.org/resource/Amanda_Milling","Amanda Anne Milling (born 12 March 1975) is a Conservative Party politician in the United Kingdom. She is the Member of Parliament (MP) for the constituency of Cannock Chase after winning the seat in the 2015 general election.Milling studied Economics and Statistics at University College London, graduating in 1997."
"http://dbpedia.org/resource/Amanda_Oleander","Amanda Oleander (born December 2, 1989) is a freelance professional contemporary artist and Periscope personality. She graduated from the University of North Carolina at Charlotte with a Bachelor of Fine Arts. Oleander, who has created artworks for E! Online and Greenpeace, lives in Los Angeles, California. She signed up with Periscope on its second day of launch and has since consistently been one of the app's most popular broadcasters. Oleander was named ""the queen of Periscope"" by the TV show Right This Minute, and her popularity has been compared to that of Kim Kardashian."
"http://dbpedia.org/resource/Amanda_Zahui_B.","Amanda Zahui B. (Born September 8, 1993) is a Swedish basketball player. She was drafted by the Tulsa Shock in the 2015 WNBA Draft."
"http://dbpedia.org/resource/Amane_Okayama","Amane Okayama (岡山 天音, Okayama Amane, born June 17, 1994, in Tokyo, Japan) is a Japanese actor who is represented by the talent agency, Humanité."
"http://dbpedia.org/resource/Amarachi","Amarachi Uyanne (born July 17, 2004) popularly known by her stage name Amarachi, is a Nigerian singer, dancer and violinist best known for winning the maiden season of Nigeria's Got Talent."
"http://dbpedia.org/resource/Amarilli_Nizza","Amarilli Nizza (born January 4, 1971 in Milan ) is an Italian operatic soprano."
"http://dbpedia.org/resource/Amber_Kirk-Ford","Amber Kirk-Ford (born 28 October 1998) is a British blogger and vlogger from Norfolk. She has over 10,000 followers and nearly 500,000 views. She has been blogging since she was seven and has hopes of working in journalism or publishing."
"http://dbpedia.org/resource/Ambroise_Abdo","Ambroise Abdo (born 8 January 1820 in Aleppo, Syria - died in 1876) was a bishop of the Melkite Greek Catholic Archeparchy of Jerusalem."
"http://dbpedia.org/resource/Amir_Alexander","Amir Alexander is a historian, author, and academic who studies the interconnections between mathematics and its cultural and historical setting. Born in Rehovot, Israel on April 7, 1963, he grew up in Jerusalem where his father, Shlomo Alexander, was a professor of physics at the UCLA and the Hebrew University and his mother, Esther Alexander, was an economist and social activist.  He obtained a B.S. from the Hebrew University in Jerusalem in 1988 in mathematics and history, before moving to the United States, where he obtained an M.A. in history of science from Stanford University in 1990, and a Ph.D. in history of science from Stanford University in 1996.His first book, Geometrical Landscapes: The Voyages of Discovery and the Transformation of Mathematical Practice, was published in 2002.  The book describes the 17th century English exploration of the Americas, the early exploration by English mathematicians of infinitesimals, and the relationship between the two, and argued that ""If a strong relationship can be established between an historically specific nonmathematical tale and the narrative of a mathematical work that originated within its social sphere, then mathematics can indeed be said to be fundamentally shaped by its social and cultural setting.""His second book, Duel at Dawn: Heroes, Martyrs, and the Rise of Modern Mathematics, was published in 2010.  The book begins describing the death of Evariste Galois in a duel in 1832 and makes the argument that the ideas and culture of the Romantic age influenced the way mathematicians saw themselves and the very mathematics that they created.His third book, Infinitesimal: How a Dangerous Mathematical Theory Shaped the Modern World was published in 2014.  The book returns to the topic of the history of the study of infinitesimals in the 17th century, and locates arguments about the validity of the mathematical concept in the struggles between Roman Catholics and Protestants in the Reformation and Counter-Reformation and the accompanying political struggles between authoritarian and more pluralistic approaches to governing.  Infinitesimal was selected as one of the best science books of 2014 by Library Journal and by Slate magazine.Alexander has also contributed pieces to The New York Times's Science and Book Reviews sections, The Los Angeles Times Op-Ed section, and Scientific American, and he has been interviewed on NPR's All Things Considered, and Interfaith Voices.Amir Alexander lives in Los Angeles with his wife and two children. He teaches history at UCLA."
